"#"	"Injection Id"	"SampleName"	"Assigned Mass"	"Retention Time"	"Width @ Baseline"	"USP Tailing"	"Area"	"% Area"
1	2682	"Dirty API 1"	"  688 (1)"	10.573	1.516991e-001		10996	0.78
2	2682	"Dirty API 1"	"  688 (2)"	10.807	1.800385e-001		7451	0.53
3	2682	"Dirty API 1"	"  750"	11.103	1.441975e-001		9843	0.69
4	2682	"Dirty API 1"	"  704"	11.242	1.225262e-001		11586	0.82
5	2682	"Dirty API 1"	"  619"	11.338	1.166916e-001		5898	0.42
6	2682	"Dirty API 1"	"  672"	11.897	2.167130e-001	1.149399e+000	1278694	90.17
7	2682	"Dirty API 1"	"  532"	12.078	8.501816e-002		7428	0.52
8	2682	"Dirty API 1"	"  718"	12.332	1.767044e-001		7366	0.52
9	2682	"Dirty API 1"	"  171"	12.633	9.918785e-002		5989	0.42
10	2682	"Dirty API 1"	"  122"	13.910	1.166916e-001	1.088261e+000	10114	0.71
11	2682	"Dirty API 1"	"  673"	15.381	1.783714e-001	1.016603e+000	62759	4.43
"#"	"Injection Id"	"SampleName"	"Assigned Mass"	"Retention Time"	"Width @ Baseline"	"USP Tailing"	"Area"	"% Area"
1	2686	"Dirty API 1"	"  700"	6.057	9.502029e-002	9.258025e-001	6687	0.52
2	2686	"Dirty API 1"	"  688 (1)"	6.296	1.025219e-001		11486	0.89
3	2686	"Dirty API 1"	"  688 (2)"	6.419	6.167984e-002		5574	0.43
4	2686	"Dirty API 1"	"  750"	6.554	6.334686e-002	1.040441e+000	9057	0.70
5	2686	"Dirty API 1"	"  704"	6.624	6.418037e-002		13455	1.04
6	2686	"Dirty API 1"	"  672 (1)"	6.996	1.133575e-001	1.044476e+000	1148628	88.56
7	2686	"Dirty API 1"	"  672 (2)"	7.068	3.667450e-002		5397	0.42
8	2686	"Dirty API 1"	"  532"	7.122	8.335114e-002		9488	0.73
9	2686	"Dirty API 1"	"  718"	7.203	7.084846e-002		6248	0.48
10	2686	"Dirty API 1"	"  764"	7.301	5.417824e-002		6698	0.52
11	2686	"Dirty API 1"	"  136"	8.010	9.585381e-002	1.069370e+000	9943	0.77
12	2686	"Dirty API 1"	"  954"	8.163	8.335114e-002		5089	0.39
13	2686	"Dirty API 1"	"  674"	8.742	1.491985e-001	1.085358e+000	59292	4.57
"#"	"Injection Id"	"SampleName"	"Assigned Mass"	"Retention Time"	"Width @ Baseline"	"USP Tailing"	"Area"	"% Area"
1	2690	"Dirty API 1"	"  688 (1)"	14.752	1.308613e-001	9.962704e-001	8828	0.65
2	2690	"Dirty API 1"	"  688 (2)"	15.052	1.083565e-001		6374	0.47
3	2690	"Dirty API 1"	"  750"	15.523	1.617012e-001		9594	0.71
